93  94	42
82	24	116
70	134	162
294	118	84
72	38	154
89	90	73
84	37	54
129	77	46
20	150	98
63	27	120
91	188	156
67	77	162
270	35	174
174	14	90
32	38	10
222	21	91
63	30	24
264	33	54
282	156	61
136	25	67
38	120	13
158	62	106
43	21	63
44	18	14
100	128	16
20	84	52
96	20	160
49	58	48
46	130	166
20	21	26
204	81	76
282	88	42
282	60	108
97	93	102
130	186	89
192	98	58
231	42	31
162	63	63
182	106	126
160	130	32
76	144	69
207	164	114
60	38	42
164	95	132
43	40	73
84	130	32
207	90	70
154	72	64
81	114	63
246	64	52
118	154	136
190	81	81
86	66	38
54	71	62
132	180	20
120	62	79
160	190	36
32	11	45
58	126	42
22	37	35
40	112	100
20	112	13
61	97	68
24	102	48
120	80	39
110	152	94
54	24	29
36	50	73
144	178	38
183	61	22
80	71	92
83	30	72
36	176	136
86	16	89
40	18	48
22	170	22
45	92	62
112	77	166
96	194	56
58	63	76
11	61	39
73	48	58
99	78	38
134	176	98
152	176	48
141	188	56
58	162	85
213	94	200
34	56	54
170	50	176
44	82	80
33	24	98
267	200	184
66	56	96
154	19	70
102	164	45
177	182	20
300	188	65
222	68	88
48	81	74
55	98	79
42	90	92
34	43	96
148	94	51
50	36	64
86	34	57
92	56	57
33	148	91
255	180	64
54	106	32
150	152	78
282	55	92
14	57	50
182	13	142
30	69	29
130	60	54
156	158	45
60	138	82
288	81	88
42	166	24
146	50	122
92	70	72
126	114	74
48	174	26
38	88	37
105	84	62
249	74	62
51	33	192
291	57	29
20	82	52
249	114	158
11	30	26
29	186	50
228	92	96
46	97	136
291	174	58
81	84	10
270	30	84
120	50	162
186	122	144
80	41	40
81	46	118
57	83	152
195	50	54
57	26	66
63	79	41
156	12	22
130	38	66
300	194	150
120	116	37
225	38	14
146	33	49
28	22	75
90	20	56
170	27	93
252	172	45
78	33	186
51	122	72
258	75	104
141	102	66
63	188	87
64	78	62
111	100	18
88	168	11
22	198	70
120	20	98
22	62	32
56	70	72
26	42	112
16	144	15
30	80	104
68	138	35
41	52	148
32	84	96
114	82	100
213	84	25
38	40	122
255	16	64
142	17	38
61	100	118
152	196	190
108	34	28
48	106	156
128	158	21
35	57	83
138	92	93
282	124	130
76	48	52
33	188	92
184	61	170
34	66	108
126	184	96
135	130	80
70	72	10
39	72	72
81	134	40
300	98	51
116	14	56
114	186	62
170	62	90
70	41	196
99	162	40
112	65	64
46	94	94
22	192	73
94	50	152
36	73	19
110	124	28
225	88	97
237	27	86
86	200	70
67	100	97
98	122	70
120	18	86
240	48	93
152	76	58
108	40	184
237	48	188
21	62	76
243	60	52
124	76	130
54	18	120
258	39	112
138	162	184
194	94	26
72	16	80
36	32	152
60	136	98
63	19	21
134	128	74
78	44	184
17	87	61
36	178	180
24	120	118
34	46	150
168	200	62
98	63	24
28	106	54
231	73	128
90	46	80
240	20	28
126	88	26
92	25	39
192	88	126
102	83	56
45	100	156
142	97	36
80	86	13
51	116	43
28	36	48
222	54	154
192	26	20
140	22	180
112	110	74
207	86	23
124	40	186
35	86	122
48	95	192
54	134	50
24	94	46
177	32	36
41	24	38
300	170	94
144	38	66
231	10	92
164	37	122
54	71	36
182	50	106
102	150	51
80	48	164
168	93	54
85	28	18
170	38	138
146	86	97
46	142	170
198	92	11
72	194	110
116	72	35
182	44	92
98	85	66
126	24	33
120	80	150
60	14	196
162	112	61
270	74	52
81	102	32
71	77	74
11	82	158
76	142	95
18	100	52
300	46	34
62	128	30
198	66	33
68	46	46
148	83	74
18	46	81
270	46	92
207	26	73
100	35	156
25	99	68
225	59	65
40	60	64
140	50	84
116	35	40
82	148	124
77	116	200
46	28	75
100	63	12
184	58	130
49	146	23
140	33	19
123	43	54
182	168	20
93	170	18
180	36	23
16	98	136
273	80	122
61	33	73
40	32	55
22	25	42
147	136	99
91	96	80
86	68	94
92	30	96
26	58	60
138	166	57
219	198	104
94	88	45
43	110	32
81	57	12
90	186	198
192	51	110
279	200	198
297	36	142
156	76	98
180	90	81
176	42	34
108	200	16
111	198	23
48	136	42
36	51	13
194	72	132
72	130	152
58	190	164
300	44	10
72	26	54
39	99	38
237	144	80
60	64	47
57	28	23
51	36	30
30	174	63
84	70	10
58	92	162
258	80	93
91	46	19
207	182	82
246	58	91
207	124	34
80	106	77
13	40	12
10	57	97
100	51	24
196	65	70
158	178	104
31	86	61
234	22	66
56	55	188
96	54	89
15	72	69
65	78	49
38	50	122
184	10	51
67	150	14
158	86	106
53	92	18
190	136	20
76	124	10
132	23	24
51	72	34
51	116	64
75	23	82
189	22	88
14	20	84
126	52	34
180	144	28
43	112	29
18	94	154
88	144	68
126	49	168
64	76	188
34	86	82
60	83	67
47	188	136
34	91	64
285	124	71
50	194	122
20	70	98
144	22	38
36	82	26
136	66	80
160	82	156
84	53	52
34	46	30
222	28	120
90	126	180
153	18	91
144	38	40
74	98	33
243	61	168
118	60	22
61	62	94
33	56	23
79	106	39
111	28	50
33	136	182
171	70	72
83	120	70
82	59	61
98	54	168
237	47	10
38	54	44
34	12	72
144	72	34
34	180	77
66	102	22
90	170	112
22	97	38
67	38	89
48	84	138
231	100	91
172	30	94
32	80	120
97	146	148
150	66	32
92	68	148
159	44	79
141	48	88
98	39	99
120	178	53
216	94	10
70	72	45
66	25	98
44	118	60
100	71	19
252	57	140
25	13	87
246	92	91
297	138	88
84	45	16
16	80	82
80	178	134
291	59	41
183	91	76
183	63	68
18	23	148
189	95	88
78	21	55
62	110	70
90	71	39
102	18	18
249	136	70
126	37	61
36	83	53
110	34	31
76	95	87
105	192	172
146	60	54
135	65	38
152	94	56
22	26	62
104	192	20
194	10	44
48	57	192
62	76	13
93	150	19
58	29	166
55	176	30
32	38	59
110	36	84
135	34	158
182	22	42
29	97	52
138	158	11
81	76	118
95	70	87
240	80	55
255	20	44
190	110	14
81	73	168
273	75	88
92	63	14
45	88	81
21	190	66
184	38	196
116	118	62
34	31	31
140	47	56
15	95	74
216	90	42
225	50	93
120	47	94
92	94	200
71	26	91
46	80	88
70	61	24
30	108	81
177	33	24
46	152	134
180	136	142
35	116	100
58	31	30
54	84	64
138	114	80
144	70	92
58	82	53
219	120	78
200	22	61
70	39	188
66	120	23
72	11	35
93	68	59
89	32	44
71	188	50
188	174	12
196	56	22
12	54	148
186	35	15
58	77	54
168	98	43
192	37	54
48	50	120
112	66	93
39	27	184
55	49	76
38	174	52
44	192	31
76	61	11
93	13	28
84	79	182
186	20	88
95	31	94
16	87	86
69	70	182
78	72	67
177	78	78
168	33	50
47	99	25
170	15	126
52	60	61
76	97	64
47	54	54
73	58	52
198	58	60
43	168	140
69	158	70
72	72	13
126	58	71
135	186	66
162	75	11
68	26	58
44	44	98
165	56	172
13	63	58
25	98	160
147	126	52
98	17	72
58	72	20
126	92	116
68	83	66
165	68	162
114	25	88
294	39	180
31	24	170
72	28	15
86	178	98
63	24	120
126	51	192
128	94	96
47	15	51
140	32	53
30	134	41
84	58	58
87	88	73
112	182	30
33	94	48
12	91	48
252	192	40
23	82	70
71	77	160
62	65	28
90	184	37
93	54	56
288	68	74
80	108	78
10	136	154
52	94	23
54	142	56
174	170	70
55	84	76
105	19	102
55	112	36
45	45	130
16	68	86
98	166	32
162	12	190
90	26	43
105	124	11
30	102	96
12	13	53
66	12	60
237	59	28
50	194	112
78	62	42
39	39	55
130	59	180
225	200	80
60	65	152
20	86	54
210	102	138
92	186	76
72	83	97
159	60	148
100	72	104
84	32	192
190	42	58
225	168	110
83	26	170
58	152	91
37	200	102
52	22	38
279	168	33
60	28	44
300	21	108
38	69	112
146	170	97
52	154	164
156	134	156
156	192	24
165	13	35
189	53	51
36	77	33
66	43	32
70	32	12
174	37	66
39	33	84
99	83	102
102	104	150
158	65	116
122	65	138
30	76	162
35	81	15
40	58	154
300	15	100
24	188	17
88	41	38
114	194	42
14	84	79
25	24	22
62	88	95
11	84	11
32	15	89
279	99	37
47	44	83
34	54	58
150	36	45
243	142	30
42	192	21
39	62	38
33	40	128
75	168	36
59	128	81
98	66	52
54	94	162
188	112	88
58	50	59
30	56	91
189	182	27
57	138	92
92	178	128
86	30	25
146	31	148
207	91	56
82	198	100
29	180	154
36	166	94
144	61	172
225	45	132
96	36	118
222	72	67
18	17	46
72	28	112
44	80	36
150	46	172
108	71	19
92	68	42
147	174	57
180	128	148
183	200	14
200	198	26
50	12	50
190	36	140
42	174	25
69	32	82
210	47	71
120	122	46
20	70	116
190	84	40
78	138	31
19	40	154
84	41	142
20	86	92
46	152	68
168	102	65
144	34	59
180	66	59
124	136	92
22	78	50
180	71	38
30	74	82
79	42	36
150	110	174
300	64	30
123	39	156
240	79	168
44	60	51
134	82	67
198	11	160
72	158	46
60	47	176
106	98	92
154	94	60
216	38	108
122	140	99
93	36	91
76	78	19
12	69	46
56	188	55
222	86	86
129	58	102
33	192	92
72	37	20
237	42	46
178	77	134
66	122	46
47	67	19
31	97	38
30	49	64
92	96	76
51	79	92
150	108	72
15	39	15
87	56	38
168	28	158
94	60	60
276	68	168
102	188	11
20	82	136
153	30	194
98	98	18
20	98	63
94	25	53
16	94	90
86	11	70
49	22	14
222	116	38
60	15	164
122	138	38
116	126	192
98	100	44
108	55	120
186	29	25
200	152	67
162	152	97
96	114	22
58	172	180
120	112	67
192	25	72
78	30	58
57	77	40
26	198	124
176	44	174
75	18	92
210	79	98
92	46	24
194	43	42
118	78	90
63	79	68
84	93	142
72	174	14
180	61	34
170	87	86
27	94	172
98	96	66
134	96	180
188	156	196
210	192	68
47	59	51
210	178	63
108	67	35
17	79	27
190	75	75
56	84	17
140	174	80
91	20	88
297	58	64
11	110	72
95	54	58
14	62	76
28	20	62
48	90	24
186	71	41
54	46	54
51	160	74
100	102	158
66	180	134
44	158	134
67	162	154
142	32	32
41	114	156
44	106	112
65	128	102
42	16	93
240	28	46
162	82	70
66	78	168
28	51	44
168	100	28
291	172	156
270	61	52
80	26	49
23	108	87
39	164	198
92	30	75
117	27	44
72	50	91
285	32	84
80	53	35
97	80	52
186	73	126
13	94	150
90	69	192
90	26	160
36	91	72
184	70	130
204	76	61
273	130	88
261	104	120
99	32	19
69	76	42
88	98	56
219	86	94
40	22	89
64	52	46
172	20	73
196	116	10
74	50	110
128	164	56
85	87	182
126	54	86
30	22	98
75	108	48
27	80	93
210	84	172
83	59	96
26	67	200
108	124	164
154	132	37
10	196	30
159	40	180
60	88	164
270	94	84
84	25	164
207	58	54
264	72	99
225	182	26
152	40	32
297	184	88
154	118	26
294	60	73
68	72	46
122	83	39
45	78	132
43	52	67
68	48	49
27	27	49
114	66	138
66	54	138
64	64	54
84	132	124
95	68	74
64	100	92
134	48	74
165	19	24
72	42	39
152	16	166
60	48	12
219	27	198
128	32	23
98	100	172
116	11	130
261	60	47
153	118	84
44	99	184
243	136	88
178	142	74
267	74	56
36	200	162
300	61	34
261	84	178
52	100	120
41	76	58
134	63	90
75	19	18
297	156	100
153	100	166
144	81	86
267	75	80
255	65	70
32	100	34
42	80	192
85	92	100
150	49	79
60	25	182
237	22	85
11	116	79
128	184	10
29	89	83
20	108	142
34	168	108
97	144	176
228	47	140
42	18	37
297	69	10
178	186	166
60	22	64
174	18	88
52	59	64
190	118	60
72	47	98
194	34	43
261	53	89
116	80	68
75	95	34
168	100	48
43	19	58
58	85	20
261	87	56
70	12	69
22	27	124
177	14	48
177	164	48
267	132	42
68	60	88
156	174	79
64	61	64
60	158	74
106	146	74
39	80	59
60	77	22
273	49	70
26	25	76
285	144	86
46	82	182
186	118	32
56	174	11
188	35	23
228	98	144
204	80	108
216	198	83
82	20	76
94	95	78
87	146	47
156	76	11
99	90	49
61	27	166
146	34	77
144	180	99
32	196	162
252	86	13
23	77	126
33	170	38
26	71	130
81	138	36
81	38	40
70	94	46
48	51	46
78	160	86
80	192	82
78	40	76
92	104	144
255	176	88
194	53	170
20	44	98
60	89	100
40	97	79
71	140	17
177	24	132
150	46	58
54	70	80
294	30	24
72	184	84
68	64	142
180	78	170
135	38	82
177	84	15
56	53	67
186	28	32
87	134	99
196	50	34
122	124	72
129	82	94
72	11	12
38	140	166
58	102	130
210	26	116
62	22	200
50	86	156
164	100	10
267	80	60
102	18	54
20	59	82
10	134	23
219	38	76
162	45	46
73	168	144
150	170	31
66	172	94
72	40	68
198	72	76
180	60	63
24	76	34
219	68	49
87	62	16
87	20	146
288	82	73
118	36	78
74	42	34
57	142	82
73	13	144
34	22	48
85	144	39
46	68	104
32	112	96
80	91	17
39	97	176
55	64	170
26	164	33
246	140	194
45	60	166
84	19	176
62	158	32
98	142	106
138	64	26
264	78	46
54	96	186
126	28	17
285	54	91
252	89	138
72	32	182
96	158	126
30	118	38
138	62	44
261	71	35
62	190	88
72	198	55
52	46	45
144	15	28
39	76	160
258	85	71
37	18	78
117	55	26
177	31	144
91	124	96
24	196	17
120	104	21
24	54	48
83	42	32
94	114	65
176	72	72
195	72	61
159	132	114
172	98	39
168	52	69
138	86	92
196	106	92
68	52	50
31	80	26
20	164	39
65	192	54
48	31	10
55	19	59
40	90	43
53	34	91
42	90	19
49	38	184
74	194	196
174	170	128
291	20	41
13	40	72
64	166	110
216	95	194
222	39	120
40	21	58
184	95	88
207	13	44
246	136	128
177	45	96
120	72	132
177	62	69
61	116	61
176	36	71
267	118	150
65	35	30
90	30	94
68	62	168
30	40	32
41	80	80
60	96	172
58	83	158
114	34	126
96	24	73
62	162	112
23	72	82
104	198	22
123	19	65
22	180	71
168	100	50
98	49	194
178	35	82
102	146	18
297	66	73
100	156	57
90	53	176
78	160	100
40	86	95
21	94	80
130	48	61
68	146	104
60	42	138
31	142	52
225	25	28
10	67	29
114	172	17
174	90	162
138	108	40
152	68	43
69	68	28
59	60	180
90	41	46
60	29	73
51	64	31
291	142	40
176	93	22
128	192	45
111	92	96
93	24	166
28	192	52
162	35	20
21	63	54
89	164	194
81	58	198
94	50	42
222	58	10
96	180	88
78	48	77
26	33	44
47	94	84
51	46	84
63	136	20
84	73	51
30	23	40
41	24	30
45	61	70
58	97	174
17	17	79
234	174	106
142	11	122
132	47	180
28	37	35
112	77	60
64	74	166
282	74	97
42	42	98
66	61	92
198	126	98
74	50	186
178	52	68
124	43	37
43	108	42
22	170	32
52	32	60
33	102	128
100	10	31
30	108	26
178	76	114
36	92	83
204	61	49
54	112	196
28	80	150
34	136	64
48	65	76
104	98	72
42	128	158
153	172	142
201	42	76
84	122	142
48	51	33
95	54	98
140	95	28
105	142	12
65	51	83
216	63	75
156	122	72
24	148	180
85	67	182
74	78	66
190	60	74
82	10	53
164	74	126
117	57	57
219	100	93
68	198	120
222	94	100
16	152	84
36	64	108
279	92	34
35	142	88
106	61	22
70	17	124
78	194	79
152	92	46
61	130	10
54	120	45
20	50	144
207	60	178
111	114	178
240	32	89
38	82	114
60	32	53
19	164	26
19	44	92
54	38	172
70	79	81
135	41	92
42	94	94
75	72	50
180	30	48
66	106	144
42	38	60
201	71	188
75	98	90
102	86	60
67	100	166
34	46	104
30	94	64
170	10	96
95	27	21
168	66	30
294	22	10
162	60	94
56	50	61
22	88	66
291	91	85
279	22	58
147	27	62
37	136	83
183	112	40
57	35	170
180	104	22
162	182	53
30	27	30
188	48	89
96	116	82
20	45	128
45	89	57
183	28	26
52	94	134
62	178	40
19	146	75
98	64	52
54	160	196
17	100	17
51	83	114
78	94	124
28	172	190
162	69	176
148	26	60
43	178	44
70	134	63
94	68	57
74	50	23
69	44	10
47	36	172
102	42	85
174	81	88
70	63	84
106	11	88
44	23	75
58	99	98
80	86	110
156	196	90
75	81	172
100	95	102
53	140	22
45	152	28
106	81	70
188	52	34
228	190	140
288	182	120
54	46	28
200	85	86
12	70	100
81	11	51
60	38	43
36	76	112
74	94	28
144	36	182
62	35	162
174	78	58
44	25	60
20	36	146
73	66	73
30	78	75
186	118	200
71	126	114
150	56	190
174	90	80
78	82	82
49	164	108
100	56	96
267	43	22
228	14	130
96	174	46
184	92	90
267	140	30
65	14	184
222	66	90
255	81	56
46	38	97
162	36	98
264	86	54
246	35	28
294	188	110
154	41	26
156	58	184
140	126	150
108	30	82
24	72	32
66	122	36
144	53	87
164	100	92
40	74	146
132	92	46
27	26	97
42	12	122
44	19	27
34	174	22
225	126	116
136	174	88
49	88	102
68	22	152
32	200	38
11	55	24
69	64	86
112	56	45
171	146	34
96	12	92
86	172	61
237	25	108
54	37	98
37	14	11
64	16	144
36	22	154
147	37	77
76	46	96
78	50	71
110	38	63
267	38	30
158	48	43
49	17	180
79	44	100
18	21	60
54	33	59
87	172	84
106	85	128
112	15	44
18	45	72
77	71	162
234	164	106
178	82	93
18	53	30
98	136	122
168	192	14
52	36	162
201	166	64
47	156	13
79	44	76
51	17	176
39	48	124
106	128	136
102	93	170
159	26	140
249	36	106
279	40	198
80	43	184
21	15	59
135	176	158
76	178	158
60	78	52
85	64	80
94	95	64
21	34	84
81	194	86
69	124	120
50	87	39
31	160	118
150	22	138
20	84	26
70	148	168
180	136	86
12	48	86
147	180	37
22	62	60
83	182	128
90	14	38
63	144	42
154	140	100
34	120	27
207	24	25
19	82	84
150	81	56
40	67	30
72	49	48
182	100	76
28	196	162
252	87	100
97	37	134
10	94	118
34	58	80
110	28	48
210	122	172
160	22	186
80	120	198
25	176	58
50	56	60
78	36	15
81	56	20
152	83	83
108	82	68
40	33	100
86	188	102
96	24	30
42	114	36
22	118	72
72	68	84
96	42	61
285	57	156
291	84	56
174	72	10
170	81	58
156	52	42
48	180	35
80	37	170
99	48	49
90	53	87
35	148	60
120	40	166
44	23	89
198	93	37
81	79	55
132	46	27
74	188	14
168	35	152
51	14	14
40	34	74
102	20	77
171	73	72
249	76	126
249	12	94
156	73	73
32	89	64
282	132	172
120	62	196
195	22	38
98	41	30
88	174	186
12	64	142
154	28	174
79	17	78
20	29	24
77	100	60
92	76	45
94	144	94
92	38	87
68	190	140
91	78	60
104	18	53
174	100	67
35	182	42
87	56	91
46	62	84
186	27	32
86	48	58
43	62	84
21	81	48
117	142	84
23	62	42
183	174	27
46	106	56
16	196	100
102	182	14
33	25	21
279	40	160
80	14	98
156	152	52
273	170	68
252	48	25
82	63	174
111	45	32
98	93	55
102	38	17
52	28	49
148	95	130
261	91	88
95	28	66
24	31	32
279	36	46
136	54	194
64	130	77
156	79	88
100	172	13
117	58	45
177	73	30
48	176	14
37	77	44
92	52	172
291	32	63
100	64	160
70	50	84
70	51	34
78	60	126
174	84	32
249	180	66
198	86	23
75	100	46
80	24	76
156	77	47
41	40	138
15	90	42
270	35	36
70	35	21
110	28	12
99	14	64
19	162	28
177	71	100
129	50	27
150	54	36
240	96	156
61	198	124
118	106	164
186	120	84
198	79	82
178	93	134
112	10	50
20	69	20
132	132	156
294	86	44
201	104	56
159	156	60
40	97	15
99	180	110
168	24	70
120	47	154
11	156	100
86	146	172
12	176	62
19	33	174
261	114	95
28	174	41
297	82	86
81	46	92
273	21	94
282	21	42
195	70	40
30	44	90
31	40	176
94	46	66
120	66	38
77	85	66
75	88	90
22	79	110
213	56	25
64	90	41
73	182	57
168	65	15
130	54	52
240	10	162
91	174	89
87	51	49
36	100	56
40	190	62
118	154	36
240	82	156
261	186	55
83	10	56
58	112	18
192	138	67
50	174	182
33	75	70
65	170	87
105	128	98
53	142	77
67	156	65
166	86	64
135	78	196
42	88	168
153	104	84
68	136	37
288	66	170
162	54	22
71	122	172
291	58	66
150	87	26
28	66	84
84	166	79
10	37	94
282	104	10
97	65	116
75	41	80
44	200	134
28	82	27
141	66	30
123	95	90
94	114	53
51	40	45
246	73	68
106	23	84
243	56	130
74	44	19
99	112	156
123	58	110
59	160	154
164	31	37
117	84	39
98	82	39
171	49	81
114	54	30
134	76	178
200	26	34
20	152	98
186	36	68
66	102	31
186	90	29
110	46	67
60	73	142
72	12	114
22	172	90
111	80	31
88	152	190
276	67	75
90	96	74
12	70	14
164	40	81
76	36	166
234	70	30
134	62	70
53	94	154
216	58	69
43	56	32
165	51	67
158	116	196
246	34	98
68	43	85
112	25	36
130	81	188
74	49	82
178	40	42
57	33	134
75	66	48
48	79	18
34	78	100
114	160	98
90	71	71
51	92	196
130	24	34
219	124	72
24	120	39
10	66	10
261	56	65
75	160	140
54	132	80
201	25	45
99	64	198
171	35	108
198	90	43
80	19	69
89	88	37
152	130	200
117	66	186
135	22	126
50	17	110
108	59	49
42	40	11
152	68	22
97	122	184
17	79	92
297	53	182
34	57	72
188	54	34
54	42	112
164	144	12
184	182	108
90	54	14
142	196	110
51	32	114
34	99	20
28	30	56
62	132	148
100	76	182
78	116	156
63	182	82
27	32	100
261	39	63
240	44	48
168	63	89
76	80	90
198	108	87
27	176	68
231	66	118
